Journal Title	Publisher	Signed	Display
ACI Avances en Ciencias e Ingenierías	USFQ Press	Y	Y
Actuators	MDPI	Y	Y
Administrative Sciences	MDPI	Y	Y
Advances in Cytology & Pathology	MedCrave Group	Y	Y
Advances in Plants & Agriculture Research	MedCrave Group	Y	Y
Advances in Tissue Engineering & Regenerative Medicine: Open Access	MedCrave Group	Y	Y
Aeronautics and Aerospace Open Access Journal	MedCrave Group	Y	Y
Aerospace	MDPI	Y	Y
Agriculture	MDPI	Y	Y
Agronomy	MDPI	Y	Y
Algorithms	MDPI	Y	Y
Animals	MDPI	Y	Y
Annals of Medical Physiology	Annals of Medical Physiology	Y	
Antibiotics	MDPI	Y	Y
Antioxidants	MDPI	Y	Y
Applied Sciences	MDPI	Y	Y
Applied System Innovation	MDPI	Y	Y
Archives of Neuroscience	Kowsar Medical Institute	Y	
Arts	MDPI	Y	Y
Arts & Humanities Open Access Journal	MedCrave Group	Y	Y
Atmosphere	MDPI	Y	Y
Atoms	MDPI	Y	Y
Axioms	MDPI	Y	Y
Batteries	MDPI	Y	Y
Behavioral Sciences	MDPI	Y	Y
Beverages	MDPI	Y	Y
BIBECHANA		Y	
Big Data and Cognitive Computing	MDPI	Y	Y
Biodiversity International Journal	MedCrave Group	Y	Y
Bioengineering	MDPI	Y	Y
Biology	MDPI	Y	Y
Biomedicines	MDPI	Y	Y
Biometrics & Biostatistics International Journal	MedCrave Group	Y	Y
Biomimetics	MDPI	Y	Y
Biomolecules	MDPI	Y	Y
Biosensors	MDPI	Y	Y
BMJ Open	BMJ Publishing Group	Y	Y
Books	MDPI	Y	Y
Brain and Behavior	Wiley	Y	Y
Brain Sciences	MDPI	Y	Y
Buildings	MDPI	Y	Y
C - Journal of Carbon Research	MDPI	Y	Y
Cancers	MDPI	Y	Y
Catalysts	MDPI	Y	Y
Cells	MDPI	Y	Y
Ceramics	MDPI	Y	Y
Challenges	MDPI	Y	Y
Check List	Check List	Y	
ChemEngineering	MDPI	Y	Y
Chemosensors	MDPI	Y	Y
Children	MDPI	Y	Y
Chromatography	MDPI	Y	Y
Clean Technologies	MDPI	Y	Y
Climate	MDPI	Y	Y
Coatings	MDPI	Y	Y
Colloids and Interfaces	MDPI	Y	Y
Computation	MDPI	Y	Y
Computers	MDPI	Y	Y
Cosmetics	MDPI	Y	Y
Cryptography	MDPI	Y	Y
Crystals	MDPI	Y	Y
Data	MDPI	Y	Y
Decision Making: Applications in Management and Engineering	Regional Association for Security and Crisis Management	Y	Y
Dentistry Journal	MDPI	Y	Y
Designs	MDPI	Y	Y
Developmental Science	Wiley		Y
