Journal Title	ISSN	ESSN	RoMEO Record ID	Updated
(Con)textos Linguísticos		2317-3475	1345	2014-11-11
(Post)Critical Global Studies	2297-8534		1084	2018-03-13
1066 Tidsskrift for Historie		0106-0627	1939	2014-05-29
19: Interdisciplinary Studies in the Long Nineteenth Century		1755-1560	2657	2015-10-30
19th-Century Music	0148-2076	1533-8606	107	2015-09-30
2D Materials		2053-1583	1471	2017-11-22
3 Biotech	2190-572X	2190-5738	948	2013-03-07
3D-Printed Materials and Systems		2363-8389	948	2015-12-18
3D Printing in Medicine		2365-6271	948	2015-12-18
3D Research	2092-6731		74	2015-11-26
4OR: A Quarterly Journal of Operations Research	1619-4500	1614-2411	74	2014-08-27
5 to 7 Educator	1746-7500		621	2018-02-20
@nalyses		1715-9261	1260	2015-03-31
@tic. revista d'innovació educativa		1989-3477	1865	2014-04-16
A Critical Introduction to Media and Communication Theory	1947-6264		1084	2018-03-13
A Current Bibliography on African Affairs	0011-3255		65	2015-04-08
A Economia em Revista - AERE	1413-6090	2236-2029	2490	2015-10-08
A Life in the Day	1366-6282		31	2018-02-16
A obra nasce	1645-8729		845	2010-11-22
AACE Journal	1551-3696		99	2014-08-28
Aachen British and American Studies	0721-3980		1084	2018-03-13
Aachener Studien zur Anglistik und Amerikanistik	0721-3980		1084	2018-03-13
AACN Advanced Critical Care	1559-7768	1559-7776	663	2017-06-07
AADE in Practice	2325-1603		65	2013-06-05
AAG Review of Books		2325-548X	1140	2015-04-30
A&A Case Reports	2325-7237		48	2017-04-05
AANS Neurosurgeon	1934-645X	1934-6468	324	2010-08-24
AAOHN Journal	0891-0162		799	2017-07-17
AAPG Bulletin	0149-1423		634	2015-11-18
AAPP | Physical, Mathematical, and Natural Sciences		1825-1242	2364	2015-06-25
AAPS Journal	1550-7416		313	2014-09-25
AAPS Open		2364-9534	948	2015-12-22
AAPS PharmSciTech		1530-9932	313	2014-08-27
AAS Open Research		2515-9321	1546	2018-03-12
AASRI Procedia	2212-6716		30	2015-05-01
ABA Child Law Practice	0887-896X		632	2011-08-12
Abacus	0001-3072	1467-6281	2052	2017-11-24
