Journal Title	RoMEO Record ID	Updated
(Con)textos Linguísticos	1345	2014-11-11
(Post)Critical Global Studies	1084	2018-03-13
1066 Tidsskrift for Historie	1939	2014-05-29
19: Interdisciplinary Studies in the Long Nineteenth Century	2657	2015-10-30
19th-Century Music	107	2015-09-30
2D Materials	1471	2017-11-22
3 Biotech	948	2013-03-07
3D-Printed Materials and Systems	948	2015-12-18
3D Printing in Medicine	948	2015-12-18
3D Research	74	2015-11-26
4OR: A Quarterly Journal of Operations Research	74	2014-08-27
5 to 7 Educator	621	2018-02-20
@nalyses	1260	2015-03-31
@tic. revista d'innovació educativa	1865	2014-04-16
A Critical Introduction to Media and Communication Theory	1084	2018-03-13
A Current Bibliography on African Affairs	65	2015-04-08
A Economia em Revista - AERE	2490	2015-10-08
A Life in the Day	31	2018-02-16
A obra nasce	845	2010-11-22
AACE Journal	99	2014-08-28
Aachen British and American Studies	1084	2018-03-13
Aachener Studien zur Anglistik und Amerikanistik	1084	2018-03-13
AACN Advanced Critical Care	663	2017-06-07
AADE in Practice	65	2013-06-05
AAG Review of Books	1140	2015-04-30
A&A Case Reports	48	2017-04-05
AANS Neurosurgeon	324	2010-08-24
AAOHN Journal	799	2017-07-17
AAPG Bulletin	634	2015-11-18
AAPP | Physical, Mathematical, and Natural Sciences	2364	2015-06-25
AAPS Journal	313	2014-09-25
AAPS Open	948	2015-12-22
AAPS PharmSciTech	313	2014-08-27
AAS Open Research	1546	2018-03-12
AASRI Procedia	30	2015-05-01
ABA Child Law Practice	632	2011-08-12
Abacus	2052	2017-11-24
ABC Journal of Advanced Research	2099	2014-09-11
Abdomen	2344	2015-06-22
Abdominal Imaging	74	2014-08-27
Abgadiyat	154	2016-01-22
Abhandlungen aus dem Mathematischen Seminar der Universität Hamburg	74	2014-05-16
ABI-Technik	414	2014-04-01
Abiotic and Biotic Stress Journal	2833	2016-07-21
ABM	1017	2011-06-16
ABM-skrift	1017	2011-06-16
ABO: Interactive Journal for Women in the Arts	1998	2014-08-12
ABO - Revista de Medicina Transfusional	867	2010-11-22
Aboriginal History Journal	1514	2016-08-31
About Campus	1499	2014-03-18
Abstract and Applied Analysis	100	2018-01-08
Abstract Bulletin of Paper Science and Technology	30	2015-05-01
Abstracts in Anthropology	65	2015-04-08
Abstracts of Papers Presented to the AMS	83	2015-04-10
Abstracts of Working Papers in Economics	1838	2014-04-29
Academia Revista Latinoamericana de Administración	31	2018-02-16
Academic and Library Computing	31	2018-02-16
Academic Book Guide	1133	2016-12-16
Academic Emergency Medicine	2050	2017-11-24
Academic Exchange Quarterly	1103	2012-01-30
Academic Journal of Applied Mathematical Sciences	2522	2016-04-15
Academic Journal of Economic Studies	2635	2016-01-04
Academic Journal of Life Sciences	2522	2016-04-15
Academic Medicine	48	2017-04-05
Academic Pathology	1403	2018-02-22
Academic Pediatrics	2823	2016-07-01
Academic Physician and Scientist	2261	2016-09-26
Academic Psychiatry	74	2014-10-10
Academic Questions	74	2014-08-28
Academic Radiology	2823	2016-07-01
Academicus	2332	2015-06-16
Academie voor Arbeidsrecht	2155	2014-11-18
Academische Boekengids	1133	2016-12-16
Academy of Contemporary Research Journal	1697	2013-10-30
Academy of Management Annals	1600	2015-03-23
Academy of Management Discoveries	2	2017-06-08
Academy of Management Executive	2	2017-06-08
Academy of Management Journal	2	2017-06-08
Academy of Management Learning and Education	2	2017-06-08
Academy of Management Perspectives	2	2017-06-08
Academy of Management Proceedings	2	2017-06-08
Academy of Management Review	2	2017-06-08
Acadiensis - Journal of the history of the Atlantic region	2520	2015-08-19
Acarologia	3022	2017-05-05
ACC Current Journal Review	30	2015-05-01
Accident Analysis and Prevention	30	2015-05-01
Accident and Emergency Nursing	30	2015-05-01
Accountability Forum	1640	2013-09-05
Accountability in Research	1141	2014-03-26
Accounting and Business Research	1140	2014-03-26
Accounting and Finance	2052	2017-11-24
Accounting and Finance Research	915	2014-07-28
Accounting and the Public Interest	633	2016-07-28
Accounting, Auditing and Accountability Journal	31	2018-02-16
Accounting, Economics and Law	414	2014-04-01
Accounting Education	1140	2014-03-26
Accounting Forum	30	2015-05-01
Accounting History	65	2013-03-11
Accounting History Review	1140	2014-03-26
Accounting Horizons	633	2016-07-28
Accounting in Europe	1140	2014-03-26
Accounting, Organizations and Society	2943	2017-01-10
Accounting Perspectives	646	2011-01-26
Accounting Research Journal	31	2018-02-16
Accounting Review	633	2016-07-28
Accounts of Chemical Research	4	2016-09-19
Accreditation and Quality Assurance	74	2014-08-27
ACEE International Journal on Civil and Environmental Engineering	1539	2013-04-29
ACEE International Journal on Transportation and Urban Development	1539	2013-04-29
ACEEE International Journal on Communication	1297	2012-08-22
Acetic Acid Bacteria	644	2016-11-24
ACM Computing Surveys	21	2016-04-13
ACM Journal on Emerging Technologies in Computing Systems	21	2016-04-13
ACM Journal on Experimental Algorithmics	21	2016-04-13
ACM Letters on Programming Languages and Systems	21	2016-04-13
ACM Transactions of Computing Education	21	2016-04-13
ACM Transactions on Accessible Computing	21	2016-04-13
ACM Transactions on Algorithms	21	2016-04-13
ACM Transactions on Applied Perception	21	2016-04-13
ACM Transactions on Architecture and Code Optimization	21	2016-04-13
ACM Transactions on Asian Language Information Processing	21	2016-04-13
ACM Transactions on Autonomous and Adaptive Systems	21	2016-04-13
ACM Transactions on Computation Theory	21	2016-04-13
ACM Transactions on Computational Logic	21	2016-04-13
ACM Transactions on Computer-Human Interaction	21	2016-04-13
ACM Transactions on Computer Systems	21	2016-04-13
ACM Transactions on Database Systems	21	2016-04-13
ACM Transactions on Economics and Computation	21	2016-04-13
ACM Transactions on Embedded Computing Systems	21	2016-11-30
ACM Transactions on Graphics	21	2016-04-13
ACM Transactions on Information and System Security	21	2016-04-13
ACM Transactions on Information Systems	21	2016-04-13
ACM Transactions on Intelligent Systems and Technology	21	2016-04-13
ACM Transactions on Interactive Intelligent Systems	21	2016-04-13
ACM Transactions on Internet Technology	21	2016-04-13
ACM Transactions on Knowledge Discovery from Data	21	2016-04-13
ACM Transactions on Management Information Systems	21	2016-04-13
ACM Transactions on Mathematical Software	21	2016-04-13
