RoMEO Record ID	Publisher	Policy Heading	Country	RoMEO colour	Published Permission	Published Restrictions	Published Max embargo	Accepted Permission	Accepted Restrictions	Accepted Max embargo	Submitted Permission	Submitted Restrictions	Submitted Max embargo	Open Access Publishing	Record Status	Updated
1939	"1066 Tidsskrift for historie"	[Default policy]	DK	white	cannot	FALSE		cannot	FALSE		cannot	FALSE			public	2014-05-29
2011	"Aalborg Universitetsforlag"	"IJSEPM"	DK	blue	cannot	FALSE		can	FALSE		unclear	FALSE			public	2014-07-24
1877	"Aalborg Universitetsforlag"	"Musikterapi i psykiatrien"	DK	green	can	FALSE		can	FALSE		can	FALSE		All journals OA	public	2014-04-22
1876	"Aalborg Universitetsforlag"	[Default policy]	DK	green	can	FALSE		can	FALSE		can	FALSE		All journals OA	public	2014-04-22
1940	"Aarhus Universitet, Institut For Kultur og Samfund, Afdeling for Religionsvidenskab"	[Default policy]	DK	green	restricted	FALSE		can	FALSE		can	FALSE			public	2014-05-29
1902	"Aarhus Universitet, Institut for Uddannelse of Pædagogik"	[Default policy]	DK	white	cannot	FALSE		cannot	FALSE		cannot	FALSE			public	2014-05-08
2099	"ABC Journals"	[Default policy]	AA	blue	can	FALSE		cannot	FALSE		cannot	FALSE		All journals OA	public	2014-09-11
3143	"Academia da Força Aérea"	[Default policy]	PT	blue	can	FALSE		cannot	FALSE		cannot	FALSE			public	2018-01-12
838	"Academia das Ciências de Lisboa"	[Default policy]	PT	blue	can	FALSE		cannot	FALSE		cannot	FALSE			public	2010-11-22
2677	"Academia de Stiinte a Moldovei, Institutul de Chimie (Academy of Sciences of Moldova, Institute of Chemistry)"	[Default policy]	MD	green	can	FALSE		can	FALSE		can	FALSE		All journals OA	public	2015-09-16
232	"Academia Sinica, Institute of Statistical Science"	[Default policy]	TW	blue	restricted	FALSE		can	FALSE		unclear	FALSE			public	2010-05-24
692	"Academic and Business Research Institute"	[Default policy]	US	blue	can	FALSE		cannot	FALSE		cannot	FALSE			public	2015-06-12
1943	"Academic Association of Pharmacuetical Sciences from Antofagasta (ASOCIFA)"	[Default policy]	CL	blue	can	FALSE		can	FALSE		cannot	FALSE		All journals OA	public	2014-05-29
587	"Academic Conferences and Publishing International (ACPI)"	[Default policy]	GB	green	restricted	FALSE		can	FALSE		can	FALSE			public	2013-03-07
213	"Academic Journals"	[Default policy]	AA	green	can	FALSE		can	FALSE		can	FALSE		All journals OA	public	2014-10-16
943	"Academic Journals, New York"	[Default policy]	US	blue	can	FALSE		can	FALSE		cannot	FALSE			public	2011-02-09
1771	"Academic Publishing House Researcher (Научный издательский дом Исследов)"	[Default policy]	RU	green	can	FALSE		cannot	FALSE		can	FALSE		All journals OA	public	2014-01-22
1821	"Academic Research Group"	[Default policy]	IN	blue	can	FALSE		can	FALSE		cannot	FALSE			public	2014-03-20
2522	"Academic Research Publishing Group"	[Default policy]	PK	blue	can	FALSE		can	FALSE		cannot	FALSE			public	2015-08-18
3150	"Academician V.I.Shumakov National Medical Research Center of Transplantology and Artificial Organs"	[Default policy]	RU	green	can	FALSE		can	FALSE		can	FALSE		All journals OA	public	2018-01-17
2332	"Academicus"	[Default policy]	AL	blue	can	FALSE		cannot	FALSE		cannot	FALSE			public	2015-06-15
2404	"Academy for Environment and Life Sciences"	[Default policy]	IN	blue	can	FALSE		can	FALSE		cannot	FALSE			public	2015-07-15
1895	"Academy of Business and Retail Management (ABRM)"	[Default policy]	GB	blue	can	FALSE		cannot	FALSE		cannot	FALSE			public	2014-06-26
2	"Academy of Management"	[Default policy]	US	green	restricted	FALSE		can	FALSE		can	FALSE			public	2017-06-08
539	"Academy of Science of South Africa (ASSAf)"	[Default policy]	ZA	blue	can	FALSE		can	FALSE		cannot	FALSE		All journals OA	public	2010-04-29
2381	"Academy of Sciences of Higher Education of Ukraine, Section of Power Industry and Resources Conservation"	[Default policy]	UA	green	restricted	FALSE		can	FALSE		can	FALSE			public	2015-07-09
3022	"Acarologia"	[Default policy]	FR	white	can	FALSE		cannot	FALSE		cannot	FALSE			public	2017-05-05
2364	"Accademia Peloritana dei Pericolanti"	[Default policy]	IT	green	can	FALSE		can	FALSE		can	FALSE		All journals OA	public	2015-06-25
1669	"Accademia University Press"	[Default policy]	IT	green	can	FALSE		can	FALSE		can	FALSE			public	2013-11-19
2206	"ACCENTS"	[Default policy]	IN	green	can	FALSE		can	FALSE		can	FALSE		All journals OA	public	2015-01-13
2229	"ACE Publications"	[Default policy]	IN	blue	can	FALSE		cannot	FALSE		cannot	FALSE			public	2015-02-11
2772	"Acoustical Society of America"	"Acoustics Today"	US	white	cannot	FALSE		cannot	FALSE		cannot	FALSE		Paid OA options	public	2016-04-21
126	"Acoustical Society of America"	[Default policy]	US	yellow	restricted	FALSE	6	restricted	FALSE	6	can	FALSE		Paid OA options	public	2017-03-15
1936	"Acta Advances in Agricultural Sciences"	[Default policy]	IR	blue	can	FALSE		can	FALSE		cannot	FALSE		All journals OA	public	2014-05-22
724	"Acta Clinica Belgica"	[Default policy]	BE	blue	can	FALSE		cannot	FALSE		unclear	FALSE			public	2010-01-19
1066	"Acta Didactica Norge"	[Default policy]	NO	blue	can	FALSE		cannot	FALSE		cannot	FALSE			public	2011-10-21
483	"ACTA Press"	[Default policy]	CA	white	unknown	FALSE		restricted	TRUE		unclear	FALSE			public	2008-11-20
795	"Actuarial Profession, The"	[Default policy]	GB	green	cannot	FALSE		can	FALSE		can	FALSE			public	2013-03-07
1042	"Actuarial Society of South Africa"	[Default policy]	ZA	blue	can	FALSE		cannot	FALSE		cannot	FALSE			public	2011-09-08
3039	"Adam Mickiewicz University, Faculty of Pedagogy and Fine Arts, Department of English Studies"	[Default policy]	PL	blue	can	FALSE		can	FALSE		unclear	FALSE		All journals OA	public	2017-07-18
2298	"Addleton Academic Publishers"	[Default policy]	US	green	can	FALSE		can	FALSE		can	FALSE			public	2018-02-14
758	"Adenine Press"	[Default policy]	US	white	unknown	FALSE		restricted	FALSE	12	unclear	FALSE		Paid OA options	public	2015-04-10
2822	"Adis Open Access"	[Default policy]	DE	green	can	FALSE		can	FALSE		can	FALSE			public	2016-06-29
114	"Adis"	[Default policy]	DE	green	cannot	FALSE		can	FALSE		can	FALSE		Paid OA options	public	2015-07-24
2339	"Advanced Research Publications (ADR Publications)"	[Default policy]	IN	white	cannot	FALSE		cannot	FALSE		restricted	TRUE			public	2015-06-16
1060	"Advanstar Communications"	[Default policy]	US	blue	cannot	FALSE		can	FALSE		cannot	FALSE			public	2011-10-07
589	"Aedificatio Publishers"	[Default policy]	DE	green	can	FALSE		cannot	FALSE		can	FALSE			public	2009-03-23
755	"Aerospace Medical Association (AsMA)"	[Default policy]	US	blue	cannot	FALSE		can	FALSE		cannot	FALSE			public	2014-11-04
727	"African Criminology and Justice Association (US)"	[Default policy]	US	blue	unknown	FALSE		can	FALSE		unclear	FALSE			public	2010-01-20
1844	"African Minds"	[Default policy]	ZA	green	can	FALSE		can	FALSE		can	FALSE		All journals OA	public	2014-03-28
386	"African Network of Scientific and Technological Institutions"	[Default policy]	KE	white	unknown	FALSE		unclear	FALSE		unclear	FALSE			public	2010-02-03
2945	"Agenzia delle Entrate"	[Default policy]	IT	blue	can	FALSE		cannot	FALSE		cannot	FALSE			public	2017-01-12
1148	"Aggteleki Nemzeti Park Igazgatósága"	[Default policy]	HU	blue	can	FALSE		can	FALSE		cannot	FALSE			public	2012-02-27
